Frequency (Hz)	Level (dB)
2625.000000	-36.458088
2640.625000	-33.926914
2656.250000	-30.394453
2671.875000	-27.707369
2687.500000	-28.279362
2703.125000	-31.165359
2718.750000	-33.950142
2734.375000	-36.210190
2750.000000	-37.350563
2765.625000	-38.089474
2781.250000	-38.365082
2796.875000	-38.347439
2812.500000	-37.675983
2828.125000	-36.603844
2843.750000	-35.232368
2859.375000	-33.036343
2875.000000	-29.833481
2890.625000	-27.022938
2906.250000	-26.561550
2921.875000	-28.875166
2937.500000	-31.884167
2953.125000	-34.091217
2968.750000	-35.809288
2984.375000	-36.770660
3000.000000	-36.955490
3015.625000	-36.866779
3031.250000	-36.656555
3046.875000	-35.713032
3062.500000	-34.434639
3078.125000	-32.618481
3093.750000	-30.061337
3109.375000	-27.308798
3125.000000	-26.367453
3140.625000	-27.380081
3156.250000	-29.950907
3171.875000	-32.775341
3187.500000	-34.605873
3203.125000	-35.841110
3218.750000	-36.549229
3234.375000	-36.736359
3250.000000	-36.519985
3265.625000	-35.915508
3281.250000	-35.006084
3296.875000	-33.303612
3312.500000	-30.864834
3328.125000	-28.298218
3343.750000	-26.453821
3359.375000	-27.117086
3375.000000	-29.653347
3390.625000	-32.448959
3406.250000	-34.504684
3421.875000	-35.925819
3437.500000	-36.907898
3453.125000	-37.050991
3468.750000	-37.155312
3484.375000	-36.739609
3500.000000	-35.740070
3515.625000	-34.032890
3531.250000	-32.293800
3546.875000	-29.655672
3562.500000	-27.245438
3578.125000	-27.293945
3593.750000	-29.565475
3609.375000	-32.075474
3625.000000	-34.288971
3640.625000	-36.111317
3656.250000	-36.915001
3671.875000	-37.330246
3687.500000	-37.298458
3703.125000	-37.045101
3718.750000	-36.409565
3734.375000	-35.309853
3750.000000	-33.460857
3765.625000	-30.833645
3781.250000	-28.503401
3796.875000	-27.877028
3812.500000	-29.387672
3828.125000	-31.965761
3843.750000	-34.214516
3859.375000	-35.972408
3875.000000	-37.038086
3890.625000	-37.678837
3906.250000	-37.827789
3921.875000	-37.259167
3937.500000	-36.334984
3953.125000	-35.446602
3968.750000	-33.741642
3984.375000	-31.370623
4000.000000	-29.034626
4015.625000	-28.008762
4031.250000	-29.394989
4046.875000	-31.879572
4062.500000	-34.016186
4078.125000	-35.631653
4093.750000	-36.772163
4109.375000	-37.362141
4125.000000	-37.731537
4140.625000	-37.590446
4156.250000	-36.652981
4171.875000	-35.602829
4187.500000	-33.895279
4203.125000	-31.395466
4218.750000	-29.113798
4234.375000	-28.117634
4250.000000	-29.255432
4265.625000	-31.697773
4281.250000	-33.915562
4296.875000	-35.126865
4312.500000	-36.231625
4328.125000	-36.739468
4343.750000	-36.888805
4359.375000	-36.721218
4375.000000	-36.189701
4390.625000	-34.926376
4406.250000	-33.568413
4421.875000	-31.491718
4437.500000	-29.598896
4453.125000	-28.513763
4468.750000	-28.978867
4484.375000	-30.865360
4500.000000	-32.704697
4515.625000	-34.074287
4531.250000	-35.155518
4546.875000	-35.634758
4562.500000	-35.654308
4578.125000	-35.452652
4593.750000	-34.823997
4609.375000	-33.730175
4625.000000	-32.530731
4640.625000	-30.981934
4656.250000	-29.593710
4671.875000	-28.850660
4687.500000	-29.159422
4703.125000	-30.326685
4718.750000	-31.843390
4734.375000	-32.933262
4750.000000	-33.812874
4765.625000	-34.291592
4781.250000	-34.102852
4796.875000	-34.039230
4812.500000	-33.465034
4828.125000	-32.314915
4843.750000	-31.039505
4859.375000	-29.898838
4875.000000	-28.864185
4890.625000	-28.329649
4906.250000	-28.757315
4921.875000	-29.608261
4937.500000	-30.067709
4953.125000	-30.833614
4968.750000	-31.353224
