Frequency (Hz)	Level (dB)
2000.000000	-57.496990
2015.625000	-57.024704
2031.250000	-56.478203
2046.875000	-55.903103
2062.500000	-55.334053
2078.125000	-54.612644
2093.750000	-53.701340
2109.375000	-52.830830
2125.000000	-52.151772
2140.625000	-51.100605
2156.250000	-49.880802
2171.875000	-48.591396
2187.500000	-47.156574
2203.125000	-45.271385
2218.750000	-44.149544
2234.375000	-43.862667
2250.000000	-43.905014
2265.625000	-43.524830
2281.250000	-43.150890
2296.875000	-43.397255
2312.500000	-44.124413
2328.125000	-44.661362
2343.750000	-45.485958
2359.375000	-46.611294
2375.000000	-47.735306
2390.625000	-48.980091
2406.250000	-49.734058
2421.875000	-50.446842
2437.500000	-51.269466
2453.125000	-51.765610
2468.750000	-52.311314
2484.375000	-52.668938
2500.000000	-52.890865
2515.625000	-53.492664
2531.250000	-53.662254
2546.875000	-53.848209
2562.500000	-53.747314
2578.125000	-53.813499
2593.750000	-53.925446
2609.375000	-54.060047
2625.000000	-53.889801
2640.625000	-53.864380
2656.250000	-53.873180
2671.875000	-53.579102
2687.500000	-53.404613
2703.125000	-53.014709
2718.750000	-52.654022
2734.375000	-52.521202
2750.000000	-51.970882
2765.625000	-51.552406
2781.250000	-51.041275
2796.875000	-50.570774
2812.500000	-49.875885
2828.125000	-49.083305
2843.750000	-48.476269
2859.375000	-47.722805
2875.000000	-46.413078
2890.625000	-45.132416
2906.250000	-43.722904
2921.875000	-42.779270
2937.500000	-41.814789
2953.125000	-41.128422
2968.750000	-40.706364
2984.375000	-40.427002
3000.000000	-40.147190
3015.625000	-39.997204
3031.250000	-40.125607
3046.875000	-40.077782
3062.500000	-40.503735
3078.125000	-41.116943
3093.750000	-41.976681
3109.375000	-42.683086
3125.000000	-43.641567
3140.625000	-44.278809
3156.250000	-45.046967
3171.875000	-46.210926
3187.500000	-47.090824
3203.125000	-47.703396
3218.750000	-48.304337
3234.375000	-48.687191
3250.000000	-49.020454
3265.625000	-49.440826
3281.250000	-49.832031
3296.875000	-49.974903
3312.500000	-50.095070
3328.125000	-50.370907
3343.750000	-50.432648
3359.375000	-50.577271
3375.000000	-50.577171
3390.625000	-50.726719
3406.250000	-50.647144
3421.875000	-50.673347
3437.500000	-50.691547
3453.125000	-50.264996
3468.750000	-50.250488
3484.375000	-50.025688
3500.000000	-49.649158
3515.625000	-48.975899
3531.250000	-48.886311
3546.875000	-48.587765
3562.500000	-47.844254
3578.125000	-47.375721
3593.750000	-46.509857
3609.375000	-45.408367
3625.000000	-44.634483
3640.625000	-43.716526
3656.250000	-42.517765
3671.875000	-41.503143
3687.500000	-40.792763
3703.125000	-40.578461
3718.750000	-40.312527
3734.375000	-40.498611
3750.000000	-40.759762
3765.625000	-40.698185
3781.250000	-40.830257
3796.875000	-41.104912
3812.500000	-40.969757
3828.125000	-40.915958
3843.750000	-41.372871
3859.375000	-42.112869
3875.000000	-43.184071
3890.625000	-44.376713
3906.250000	-45.641121
3921.875000	-46.430687
3937.500000	-46.976738
3953.125000	-48.140507
3968.750000	-49.254330
3984.375000	-49.861362
4000.000000	-50.525200
4015.625000	-50.836529
4031.250000	-51.423409
4046.875000	-51.785686
4062.500000	-52.120892
4078.125000	-52.412151
4093.750000	-52.764221
4109.375000	-52.926903
4125.000000	-53.267231
4140.625000	-53.481689
4156.250000	-53.274250
4171.875000	-53.312443
4187.500000	-53.260582
4203.125000	-52.902195
4218.750000	-52.519547
4234.375000	-52.366207
4250.000000	-52.374893
4265.625000	-52.396412
4281.250000	-52.034992
4296.875000	-51.168354
4312.500000	-50.515221
4328.125000	-49.865921
4343.750000	-49.354847
4359.375000	-48.611450
4375.000000	-47.795120
4390.625000	-46.578270
4406.250000	-45.925884
4421.875000	-45.090008
4437.500000	-44.868229
4453.125000	-44.795269
4468.750000	-44.367229
4484.375000	-44.586494
4500.000000	-44.692120
4515.625000	-44.800327
4531.250000	-45.047806
4546.875000	-45.094006
4562.500000	-45.192062
4578.125000	-45.523582
4593.750000	-45.791409
4609.375000	-46.042725
4625.000000	-46.576359
4640.625000	-47.316715
4656.250000	-48.363842
4671.875000	-49.512318
4687.500000	-50.342724
4703.125000	-51.325359
4718.750000	-52.264542
4734.375000	-52.900215
4750.000000	-53.660145
4765.625000	-54.342525
4781.250000	-54.539703
4796.875000	-55.084301
4812.500000	-55.558765
4828.125000	-55.604492
4843.750000	-55.629227
4859.375000	-55.871635
4875.000000	-56.060188
4890.625000	-56.108658
4906.250000	-56.417210
4921.875000	-56.524715
4937.500000	-56.013512
4953.125000	-55.909767
4968.750000	-55.770309
