Frequency (Hz)	Level (dB)
6609.375000	-45.300964
6625.000000	-45.620743
6640.625000	-45.546963
6656.250000	-45.352901
6671.875000	-45.165577
6687.500000	-44.479416
6703.125000	-43.564186
6718.750000	-42.994808
6734.375000	-42.450935
6750.000000	-42.345985
6765.625000	-43.109154
6781.250000	-44.825500
6796.875000	-46.451206
6812.500000	-48.196205
6828.125000	-49.794838
6843.750000	-51.171928
6859.375000	-52.236992
6875.000000	-53.105511
6890.625000	-53.697151
6906.250000	-53.832981
6921.875000	-53.962955
6937.500000	-54.114262
6953.125000	-54.249027
6968.750000	-53.615768
6984.375000	-52.652328
7000.000000	-51.492615
7015.625000	-50.758350
7031.250000	-50.441551
7046.875000	-51.365059
7062.500000	-53.594143
7078.125000	-55.937836
7093.750000	-58.198994
7109.375000	-60.128021
7125.000000	-61.747505
7140.625000	-62.933636
7156.250000	-63.866814
7171.875000	-65.054878
7187.500000	-65.708916
7203.125000	-66.014862
7218.750000	-66.336983
7234.375000	-66.358734
7250.000000	-65.898300
7265.625000	-65.400955
7281.250000	-64.520187
7296.875000	-63.357235
7312.500000	-63.092747
7328.125000	-63.928619
7343.750000	-66.130219
7359.375000	-68.902840
7375.000000	-71.313904
7390.625000	-73.642227
7406.250000	-75.434273
7421.875000	-77.264214
7437.500000	-78.787697
7453.125000	-79.919746
7468.750000	-81.087692
7484.375000	-82.021683
7500.000000	-82.598412
7515.625000	-83.225372
7531.250000	-83.643814
7546.875000	-83.937782
7562.500000	-83.735138
7578.125000	-83.497246
7593.750000	-83.567085
7609.375000	-84.654678
7625.000000	-87.241875
7640.625000	-90.948738
7656.250000	-94.706406
7671.875000	-98.002602
7687.500000	-101.362061
7703.125000	-104.086098
7718.750000	-106.881851
7734.375000	-109.740417
7750.000000	-112.664848
7765.625000	-115.664375
7781.250000	-119.019653
7796.875000	-122.691498
7812.500000	-126.339073
7828.125000	-130.372528
7843.750000	-134.699432
7859.375000	-139.184082
7875.000000	-143.579529
7890.625000	-147.693924
7906.250000	-150.691101
7921.875000	-151.492767
7937.500000	-151.795929
7953.125000	-151.890152
7968.750000	-151.978119
7984.375000	-152.011551
